Code;Name
01;Освіта/Педагогіка
012;Дошкільна освіта
11;Математика та статистика
111;Математика
112;Статистика
113;Прикладна математика
12;Інформаційні технології
121;Інженерія програмного забезпечення
122;Комп’ютерні науки
123;Комп’ютерна інженерія
124;Системний аналіз
125;Кібербезпека
126;Інформаційні системи та технології
